4,17,9,85,49,36,3.881
19,42,48,85,49,49,4.130
34,18,23,85,50,1,4.726
39,5,35,85,50,7,5.037
39,5,15,82,3,54,5.073
39,5,15,86,3,42,5.035
30,53,33,86,3,41,4.543
19,49,35,86,3,38,4.131
0,56,27,86,3,19,3.867
344,36,24,86,3,2,3.996
332,30,19,86,2,41,4.331
320,29,36,86,2,23,4.961
40,39,53,92,12,58,5.146
30,1,25,92,12,57,4.494
13,8,6,94,2,28,3.982
353,0,25,93,3,27,3.886
336,13,42,93,3,1,4.197
323,11,40,93,17,39,4.779
320,19,26,93,17,32,4.971
320,19,20,97,29,0,5.006
329,0,25,98,5,53,4.511
342,58,34,100,34,26,4.087
359,44,57,100,34,44,3.922
14,3,31,100,34,58,4.058
26,4,37,100,35,5,4.397
35,9,59,99,10,21,4.823
43,48,7,97,17,50,5.456
42,52,20,101,27,14,5.434
37,53,46,102,28,29,5.056
22,22,29,104,36,24,4.334
6,30,9,110,4,17,4.137
353,13,53,110,4,3,4.128
353,14,1,104,52,13,4.012
5,45,32,104,52,25,4.017
359,16,53,104,52,22,3.990
346,46,18,104,52,6,4.086
337,34,33,104,39,29,4.290
322,32,13,102,32,57,4.931
321,47,40,78,3,16,4.972
336,47,43,76,3,4,4.302
355,39,8,74,56,7,4.003
8,47,55,75,3,23,4.047
21,23,35,75,57,29,4.293
28,25,30,76,50,37,4.537
41,2,26,78,36,30,5.278
30,42,28,82,55,42,4.558
17,21,51,82,55,37,4.091
3,8,42,82,55,26,3.896
342,35,51,82,55,2,4.058
330,9,21,82,54,41,4.451
322,14,36,82,54,29,4.871
