47,32,22,76,31,39,5.558
69,8,3,72,49,7,4.504
106,11,39,72,49,15,4.426
117,24,30,72,48,52,4.810
133,13,20,75,48,47,5.789
139,56,0,76,51,16,6.551
147,49,40,78,36,31,7.910
146,30,41,96,21,28,7.585
140,55,48,96,21,55,6.613
137,19,15,96,52,13,6.141
132,2,13,98,24,53,5.610
123,49,47,98,52,41,5.004
119,56,35,101,33,42,4.832
104,25,23,101,34,18,4.303
96,1,15,101,34,29,4.180
101,27,17,109,36,41,4.415
84,23,50,109,36,48,4.327
83,32,21,100,18,9,4.153
69,1,28,100,17,52,4.402
65,9,15,104,41,20,4.602
57,50,33,99,45,55,4.831
49,31,27,99,45,24,5.356
61,39,37,106,34,37,4.781
92,1,21,106,57,55,4.254
90,47,11,97,40,18,4.108
72,34,20,97,40,6,4.284
