151,29,42,77,18,24,7.947
162,45,46,76,22,52,7.382
178,57,5,74,46,40,6.615
189,37,33,75,54,22,7.131
203,37,28,76,35,57,7.507
212,25,4,69,40,12,4.998
194,4,23,67,19,19,4.516
176,44,7,67,20,58,4.531
162,17,35,67,22,23,4.539
148,26,10,67,23,39,4.538
129,44,31,67,25,4,4.531
152,23,49,58,18,40,3.306
178,48,46,54,31,20,3.001
200,48,56,56,10,33,3.134
221,53,13,61,56,48,3.702
245,51,6,61,55,28,3.707
177,44,7,37,39,59,2.200
135,0,14,47,37,9,2.578
109,34,48,65,13,10,4.156
113,55,39,58,23,41,3.315
86,27,18,63,39,42,3.924
87,54,46,45,12,59,2.474
88,29,59,13,12,59,1.787
273,0,44,32,36,43,2.070
273,0,6,53,45,58,2.963
304,21,1,61,24,49,3.667
344,44,10,51,51,13,2.844
22,35,1,51,54,41,2.840
50,58,43,66,7,14,4.304
43,16,13,69,12,40,4.919
22,43,37,64,50,15,4.106
348,14,6,62,59,12,3.848
321,57,21,67,22,37,4.548
