152,45,48,82,37,18,8.142
152,46,12,87,34,31,8.087
152,46,37,92,29,49,8.087
152,46,54,95,30,42,8.118
152,47,2,97,10,30,8.145
160,52,58,97,9,43,7.682
160,51,47,84,14,49,7.655
160,51,36,82,1,9,7.691
166,38,31,82,0,47,7.476
166,38,47,84,50,43,7.434
166,39,50,96,20,37,7.453
166,40,5,98,43,43,7.496
175,36,17,98,42,56,7.326
175,6,12,101,26,38,7.393
179,20,47,101,26,15,7.372
179,20,21,96,56,33,7.279
179,18,55,82,11,48,7.288
186,44,33,82,11,22,7.350
186,45,54,96,23,7,7.331
186,46,12,99,28,0,7.386
192,20,13,99,27,19,7.516
192,19,54,96,5,39,7.455
192,18,50,84,43,53,7.441
192,18,35,82,6,28,7.479
197,37,6,82,6,11,7.674
197,37,22,85,4,10,7.630
196,34,13,96,29,16,7.611
196,34,29,99,3,31,7.658
202,22,3,98,57,26,7.945
202,21,33,93,22,18,7.860
202,21,6,88,37,40,7.846
202,20,39,83,9,59,7.896
